,0
2014-12,169.96368215124983
2015-1,174.68158963285765
2015-2,178.91912968821742
2015-3,174.8858931530957
2015-4,174.32490045949305
2015-5,178.85038982639165
2015-6,182.90091668469103
2015-7,184.76483521824457
2015-8,185.12975410336657
2015-9,189.72608544315256
2015-10,182.77665665028852
2015-11,179.3627306913432
2015-12,179.08182358063328
2016-1,171.52493436590086
2016-2,164.65156050041873
2016-3,167.67340024251664
2016-4,167.60039502096856
2016-5,167.1598542546654
2016-6,170.6760399303619
2016-7,173.60487932466998
2016-8,175.79144069255827
2016-9,182.0348683335403
2016-10,186.14957887865805
2016-11,189.29886006517108
2016-12,188.87393917354757
2017-1,192.32703105403257
2017-2,192.09307690624183
2017-3,198.70688543999194
2017-4,204.30726526617687
2017-5,205.49735793744696
2017-6,206.57294558329718
