,0
2014-12,201.45146808521667
2015-1,201.36479573896128
2015-2,205.01879498246066
2015-3,206.80055185242261
2015-4,206.40275978108846
2015-5,208.23275902975965
2015-6,207.9964901224596
2015-7,213.52371177532996
2015-8,213.85832730258215
2015-9,219.39997241075045
2015-10,208.99170940290034
2015-11,212.44321822368536
2015-12,206.94427951537082
2016-1,198.94784349570102
2016-2,193.75553729432974
2016-3,193.61253185054045
2016-4,192.96339020553478
2016-5,195.1089244016964
2016-6,193.5874873848513
2016-7,196.73498026506354
2016-8,200.10174811037183
2016-9,209.86134071033402
2016-10,214.63938833257953
2016-11,212.874270732759
2016-12,218.86358259982364
2017-1,215.77515795820227
2017-2,213.38756885329877
2017-3,218.51642409253245
2017-4,224.41713787129257
2017-5,226.2119127665597
2017-6,235.64988685719567
